Comparation set,Ranking Popularity,City,Identity,Category,Primary tags,Name provider,Id,URL,Secondary tags,Cancellation,Availability,Language
6,4,1,"Vaticanmuseums; St. Peter's Basilica; Sistine Chapel
",8,skip; ticket; ,Expedia,,"https://www.expedia.ie/things-to-do/skip-the-line-vatican-museums-entrance-ticket.a166616.activity-details?srp=true&location=Rome,%20Italy&latLong=41.903755,12.479556",instant; mobile ,,,
6,4,1,"Vaticanmuseums; St. Peter's Basilica; Sistine Chapel
",8,skip; ticket; ,Getyourguide,55506,https://www.getyourguide.com/rome-l33/vatican-museums-and-sistine-chapel-8am-entry-ticket-t55506/,instant; mobile ,,,
7,5,1,Colosseum; underground; arena; upperring; ,14,skip; ticket; tour,Viator,3731COLOSSEUM_SMALL,http://www.partner.viator.com/en/23271/tours/Rome/Ancient-Rome-and-Colosseum-Tour-Underground-Chambers-Arena-and-Upper-Tier/d511-3731COLOSSEUM_SMALL,instant; mobile ,,,
7,5,1,Colosseum; underground; arena; upperring; ,14,skip; ticket; tour,Getyourguide,74281,https://www.getyourguide.com/roman-forum-l2618/exclusive-colosseum-underground-and-upper-ring-tour-t74281/,instant; mobile ,,,
7,5,1,Colosseum; underground; arena; upperring; ,14,skip; ticket; tour,Ceetiz,,https://www.ceetiz.com/rome/guided-tour-of-the-colosseum-underground-arenas-and-3rd-floor-exclusive-priority-access,instant; mobile ,,,
7,5,1,Colosseum; underground; arena; upperring; ,14,skip; ticket; tour,Getyourguide,74371,https://www.getyourguide.com/roman-forum-l2618/skip-the-line-ancient-rome-and-colosseum-underground-t74371/,instant; mobile ,,,
7,5,1,Colosseum; underground; arena; upperring; ,14,skip; ticket; tour,Getyourguide,44585,https://www.getyourguide.com/rome-l33/colosseum-underground-experience-t44585/,instant; mobile ,,,
8,17,1,Colosseum; underground;,14,night; skip; ticket; tour,Musement,0f5f27c5-2046-11e7-9cc9-06a7e332783f,https://musement.com/uk/rome/colosseum-and-roman-forum-jump-the-queue-tickets-and-night-tour-with-underground-access-775/,instant; mobile ,,,
8,17,1,Colosseum; underground;,14,night; skip; ticket; tour,Viator,3731COLOSSEUMNIGHT,https://www.viator.com/tours/Rome/Colosseum-and-Ancient-Rome-Tour-by-Night/d511-3731COLOSSEUMNIGHT,instant; mobile ,,,
8,17,1,Colosseum; underground;,14,night; skip; ticket; tour,Getyourguide,24204,https://www.getyourguide.com/rome-l33/rome-colosseum-by-night-tour-with-colosseum-underground-t24204/,instant; mobile ,,,
8,17,1,Colosseum; underground;,14,night; skip; ticket; tour,CityDiscovery,8778,http://www.city-discovery.com/trackingAffiliate.php?tour=8778&affiliateID=4880LOCAL,instant; mobile ,,,
9,7,1,"Vaticanmuseums; St. Peter's Basilica; Sistine Chapel
",14,earlyaccess; skip; ticket; tour,Viator,3731VATICAN_SMALL,http://www.partner.viator.com/en/23271/tours/Rome/Skip-the-Line-Vatican-Museums-Small-Group-Tour-including-Sistine-Chapel-and-St-Peters-Basilica/d511-3731VATICAN_SMALL,smallgroup; instant; mobile ,,,
9,7,1,"Vaticanmuseums; St. Peter's Basilica; Sistine Chapel
",14,earlyaccess; skip; ticket; tour,Getyourguide,63256,https://www.getyourguide.com/rome-l33/vatican-attractions-early-vip-tour-t63256/,instant; mobile ,,,
9,7,1,"Vaticanmuseums; St. Peter's Basilica; Sistine Chapel
",14,earlyaccess; skip; ticket; tour,Getyourguide,41447,https://www.getyourguide.com/rome-l33/sistine-chapel-vatican-museums-early-bird-tour-t41447/,instant; mobile ,,,
9,7,1,"Vaticanmuseums; St. Peter's Basilica; Sistine Chapel
",14,earlyaccess; skip; ticket; tour,Getyourguide,59091,https://www.getyourguide.com/rome-l33/early-vatican-semi-private-3-hour-tour-t59091/,smallgroup; instant; mobile ,,,
9,7,1,"Vaticanmuseums; St. Peter's Basilica; Sistine Chapel
",14,earlyaccess; skip; ticket; tour,Musement,12efa72d-2046-11e7-9cc9-06a7e332783f,https://www.musement.com/uk/rome/early-access-sistine-chapel-with-st-peter-s-skip-the-line-tickets-and-crypts-tour-5192/,instant; mobile ,,,
9,7,1,"Vaticanmuseums; St. Peter's Basilica; Sistine Chapel
",14,earlyaccess; skip; ticket; tour,Headout,3181,https://www.headout.com/tour/3181/italy/rome/early-access-sistine-chapel-st-peter-s-basilica-tour-skip-the-line,instant; mobile ,,,
9,7,1,"Vaticanmuseums; St. Peter's Basilica; Sistine Chapel
",14,earlyaccess; skip; ticket; tour,Viator,7599P1,http://www.partner.viator.com/en/23271/tours/Rome/Semi-Private-Early-entrance-Vatican-and-Sistine-Chapel-including-St-Peter-Basilica-small-group-tour/d511-7599P1,instant; mobile ,,,
10,6,1,Borghesegallery,8,ticket; skip,Tiqets,974333,https://www.tiqets.com/en/rome-c71631/borghese-gallery-p974333,instant; mobile ,,,
10,6,1,Borghesegallery,8,ticket; skip,Ceetiz,,https://partners.ceetiz.com/lien/3366/443/go,instant; mobile ,,,
10,6,1,Borghesegallery,8,ticket; skip,Viator,9872P13,https://www.viator.com/tours/Rome/Skip-the-Line-Borghese-Gallery-Tickets/d511-9872P13,instant; mobile ,,,
10,6,1,Borghesegallery,8,ticket; skip,Getyourguide,69531,https://www.getyourguide.com/rome-l33/skip-the-line-borghese-gallery-ticket-t69531/,instant; mobile ,,,
10,6,1,Borghesegallery,8,ticket; skip,Musement,14f2a0c0-2046-11e7-9cc9-06a7e332783f,https://www.musement.com/us/rome/borghese-gallery-and-museum-in-rome-entrance-tickets-7967/,print,,,
10,6,1,Borghesegallery,8,ticket; skip,Headout,3878,https://www.headout.com/tour/3878/italy/rome/skip-the-line-admission-to-borghese-gallery,instant; mobile ,,,
10,6,1,Borghesegallery,8,ticket; skip,Viator,3731SKIPBOR,http://www.partner.viator.com/en/23271/tours/Rome/Skip-the-Line-Borghese-Gallery-Tickets/d511-3731SKIPBOR,instant; mobile ,,,
10,6,1,Borghesegallery,8,ticket; skip,CityDiscovery,11065,http://www.city-discovery.com/trackingAffiliate.php?tour=11065&affiliateID=4880LOCAL,print,,,
11,23,1,Borghesegallery,14,ticket; skip; tour,Getyourguide,3095,https://www.getyourguide.com/rome-l33/skip-the-line-borghese-gallery-gardens-half-day-tour-t3095/,instant; mobile ,,,
11,8,1,Borghesegallery,14,ticket; skip; tour,Getyourguide,56163,https://www.getyourguide.com/rome-l33/borghese-gallery-and-gardens-skip-the-line-tour-t56163/,instant; mobile ,,,
11,8,1,Borghesegallery,14,ticket; skip; tour,Getyourguide,60186,https://www.getyourguide.com/rome-l33/rome-small-group-tour-of-borghese-gallery-t60186/,instant; mobile ,,,
11,8,1,Borghesegallery,14,ticket; skip; tour,Getyourguide,49059,https://www.getyourguide.com/rome-l33/skip-the-line-borghese-gallery-small-group-tour-t49059/,instant; mobile ,,,
11,8,1,Borghesegallery,14,ticket; skip; tour,Viator,9872P7,http://www.partner.viator.com/en/23271/tours/Rome/Small-Group-Tour-Skip-the-Line-Borghese-Gallery/d511-9872P7,instant; mobile ,,,
11,8,1,Borghesegallery,14,ticket; skip; tour,Viator,3731BORGHESE,http://www.partner.viator.com/en/23271/tours/Rome/Skip-the-Line-Borghese-Gallery-and-Gardens-Walking-Tour/d511-3731BORGHESE,instant; mobile ,,,
11,8,1,Borghesegallery,14,ticket; skip; tour,Viator,5034P56,http://www.partner.viator.com/en/23271/tours/Rome/Borghese-Gallery-and-Gardens-Transport-skip-the-line-in-a-small-group-tour/d511-5034P56,instant; mobile ,,,
11,8,1,Borghesegallery,14,ticket; skip; tour,Headout,3105,https://www.headout.com/tour/3105/italy/rome/skip-the-line-borghese-gallery-and-gardens-half-day-tour,instant; mobile ,,,
11,8,1,Borghesegallery,14,ticket; skip; tour,Musement,10203540-2046-11e7-9cc9-06a7e332783f,https://www.musement.com/us/rome/borghese-gallery-and-gardens-skip-the-line-tour-with-tickets-included-1857/,instant; mobile ,,,
11,8,1,Borghesegallery,14,ticket; skip; tour,Musement,12e51e42-2046-11e7-9cc9-06a7e332783f,https://www.musement.com/uk/rome/borghese-gardens-and-gallery-jump-the-queue-tickets-and-guided-tour-4623/,instant; mobile ,,,
11,8,1,Borghesegallery,14,ticket; skip; tour,Musement,12e79462-2046-11e7-9cc9-06a7e332783f,https://www.musement.com/us/rome/borghese-gallery-skip-the-line-tickets-and-tour-with-bernini-caravaggio-and-raphael-works-of-art-4760/,instant; mobile ,,,
11,8,1,Borghesegallery,14,ticket; skip; tour,CityDiscovery,3689,http://www.city-discovery.com/trackingAffiliate.php?tour=3689&affiliateID=4880LOCAL,instant; mobile ,,,
12,20,1,"Vaticanmuseums; St. Peter's Basilica; Sistine Chapel
",14,earlyaccess; skip; ticket; escortedentrance,CityDiscovery,9758,http://www.city-discovery.com/trackingAffiliate.php?tour=9758&affiliateID=4880LOCAL,instant; mobile ,,,
12,20,1,"Vaticanmuseums; St. Peter's Basilica; Sistine Chapel
",14,earlyaccess; skip; ticket; escortedentrance,Getyourguide,34648,https://www.getyourguide.com/rome-l33/early-entry-sistine-chapel-vatican-museum-tickets-t34648/,instant; mobile ,,,
12,20,1,"Vaticanmuseums; St. Peter's Basilica; Sistine Chapel
",14,earlyaccess; skip; ticket; escortedentrance,Musement,145aade6-2046-11e7-9cc9-06a7e332783f,https://www.musement.com/us/rome/sistine-chapel-express-and-vatican-museums-ticket-7531/,instant; mobile ,,,
12,20,1,"Vaticanmuseums; St. Peter's Basilica; Sistine Chapel
",14,earlyaccess; skip; ticket; escortedentrance,Headout,3063,https://www.headout.com/tour/3063/italy/rome/exclusive-morning-access-to-sistine-chapel-vatican-museums,instant; mobile ,,,
13,9,1,"Vaticanmuseums; St. Peter's Basilica; Sistine Chapel
",14,earlyaccess; skip; ticket;,Headout,6706,https://www.headout.com/tour/6706/italy/rome/skip-the-line-exclusive-first-entrance-to-sistine-chapel,instant; mobile ,,,
13,9,1,"Vaticanmuseums; St. Peter's Basilica; Sistine Chapel
",14,earlyaccess; skip; ticket;,Getyourguide,69728,https://www.getyourguide.com/rome-l33/exclusive-first-entrance-to-sistine-chapel-t69728/,instant; mobile ,,,
14,14,1,Crypts; Catacombs,14,skip; ticket; tour,Viator,3731CRYPTS,http://www.partner.viator.com/en/23271/tours/Rome/Skip-the-Line-Crypts-and-Roman-Catacombs-Small-Group-Walking-Tour/d511-3731CRYPTS,instant; mobile ,,,
14,14,1,Crypts; Catacombs,14,skip; ticket; tour,Musement,0f5f4604-2046-11e7-9cc9-06a7e332783f,https://www.musement.com/uk/rome/crypts-and-catacombs-of-rome-skip-the-line-tour-781/,instant; mobile ,,,
14,14,1,Crypts; Catacombs,14,skip; ticket; tour,Headout,3278,https://www.headout.com/tour/3278/italy/rome/crypts-and-roman-catacombs-small-group-walking-tour,instant; mobile ,,,
14,14,1,Crypts; Catacombs,14,skip; ticket; tour,CityDiscovery,3677,http://www.city-discovery.com/trackingAffiliate.php?tour=3677&affiliateID=4880LOCAL,instant; mobile ,,,
14,14,1,Crypts; Catacombs,14,skip; ticket; tour,Getyourguide,3997,https://www.getyourguide.com/rome-l33/beneath-rome-crypts-and-catacombs-half-day-tour-t13997/,instant; mobile ,,,
15,11,1,St. Peters Dome,8,skip; ticket; audioguide,Tiqets,973842,https://www.tiqets.com/en/rome-c71631/st-peters-basilica-dome-skip-the-line-audio-guide-p973842,instant; mobile ,,,
15,11,1,St. Peters Dome,8,skip; ticket; audioguide,Getyourguide,53689,https://www.getyourguide.com/rome-l33/skip-the-line-saint-peter-s-dome-with-audio-guide-t53689/,instant; mobile ,,,
15,11,1,St. Peters Dome,8,skip; ticket; audioguide,CityDiscovery,12302,http://www.city-discovery.com/trackingAffiliate.php?tour=12302&affiliateID=4880LOCAL,instant; mobile ,,,
16,18,1,St. Peters Dome,14,skip; ticket; tour,Getyourguide,24457,https://www.getyourguide.com/rome-l33/no-line-for-saint-peter-s-basilica-with-an-audioguide-t24457/,instant; mobile ,,,
16,18,1,St. Peters Dome,14,skip; ticket; tour,Headout,3361,https://www.headout.com/tour/3361/italy/rome/saint-peter-s-dome-tour,instant; mobile ,,,
16,18,1,St. Peters Dome,14,skip; ticket; tour,Viator,5660P8,http://www.partner.viator.com/en/23271/tours/Rome/Priority-line-St-Peters-Cupola-Walking-Tour/d511-5660P8,instant; mobile ,,,
17,12,1,St. Peters Basilica,8,skip; audioguide,Tiqets,973588,https://www.tiqets.com/en/rome-c71631/st-peters-basilica-skip-the-line-audio-guide-p973588?q=st.%20peters&city_id=71631&force_search=0,instant; mobile ,,,
17,12,1,St. Peters Basilica,8,skip; audioguide,Viator,5660AUDIO,http://www.partner.viator.com/en/23271/tours/Rome/Skip-the-Line-St-Peters-Basilica-Walking-Tour/d511-5660AUDIO,instant; mobile ,,,
17,12,1,St. Peters Basilica,8,skip; audioguide,Musement,101eb7c1-2046-11e7-9cc9-06a7e332783f,https://www.musement.com/us/rome/saint-peter-s-basilica-skip-the-line-entrance-with-wi-fi-audioguide-1743/,instant; mobile ,,,
17,12,1,St. Peters Basilica,8,skip; audioguide,CityDiscovery,12301,http://www.city-discovery.com/trackingAffiliate.php?tour=12301&affiliateID=4880LOCAL,instant; mobile ,,,
18,13,1,St. Peters Basilica,8,skip; tour,Viator,5660STPETERS,http://www.partner.viator.com/en/23271/tours/Rome/Skip-the-Line-St-Peters-Basilica-Walking-Tour/d511-5660STPETERS,instant; mobile ,,,
